SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
2126,4,1,Rural,1969,"AED 2,15,355"
2459,3,2,Rural,1980,"AED 1,95,014"
1860,2,1,Suburb,1970,"AED 3,06,891"
2294,2,1,Urban,1996,"AED 2,06,787"
2130,5,2,Suburb,2001,"AED 2,72,436"
2095,2,3,Suburb,2020,"AED 1,98,209"
2724,2,1,Suburb,1993,"AED 3,43,429"
2044,4,3,Rural,1957,"AED 1,84,992"
2638,4,3,Urban,1959,"AED 3,77,999"
1121,5,2,Urban,2004,"AED 95,962"
1466,5,3,Suburb,1951,"AED 1,91,114"
2238,3,3,Suburb,1987,"AED 2,53,359"
1330,2,2,Suburb,1992,"AED 1,32,172"
2482,4,3,Suburb,1989,"AED 2,31,157"
1087,4,1,Urban,1976,"AED 1,18,394"
2396,2,2,Suburb,1993,"AED 2,67,377"
2123,5,2,Rural,1956,"AED 1,90,773"
1871,4,2,Suburb,1977,"AED 1,72,990"
2687,5,1,Urban,1979,"AED 2,39,223"
1130,4,3,Rural,1962,"AED 1,43,050"
2685,4,3,Urban,1999,"AED 4,05,524"
2332,3,3,Rural,1978,"AED 2,63,954"
1769,4,1,Suburb,1963,"AED 1,48,311"
1343,2,3,Rural,2013,"AED 1,51,734"
2515,2,3,Urban,2013,"AED 3,07,961"
2437,2,1,Rural,2004,"AED 2,76,163"
1805,5,1,Rural,2002,"AED 2,43,985"
1385,4,3,Rural,1996,"AED 88,031"
2215,5,1,Urban,1952,"AED 2,82,909"
1955,3,1,Rural,2014,"AED 2,40,977"
1276,4,1,Rural,1965,"AED 1,04,747"
2184,2,2,Suburb,1959,"AED 3,47,207"
1459,3,2,Rural,2006,"AED 77,494"
2337,3,3,Suburb,2008,"AED 3,31,851"
1021,4,3,Rural,2013,"AED 1,10,409"
1252,2,1,Urban,1993,"AED 1,27,933"
1747,5,3,Rural,1982,"AED 2,28,683"
1856,4,2,Rural,1959,"AED 1,24,712"
2584,2,3,Suburb,2001,"AED 4,15,851"
1474,3,3,Urban,1959,"AED 1,84,820"
2082,4,2,Suburb,1966,"AED 1,64,856"
1510,3,2,Suburb,2002,"AED 1,56,928"
2705,2,1,Urban,1971,"AED 2,82,458"
2499,5,1,Urban,2021,"AED 2,87,592"
1699,5,1,Rural,1960,"AED 1,56,314"
1975,3,3,Suburb,2016,"AED 2,79,764"
2806,3,3,Suburb,1962,"AED 3,66,494"
1189,3,3,Urban,2007,"AED 2,44,539"
1957,4,2,Rural,1994,"AED 2,39,300"
1686,2,3,Urban,1994,"AED 2,49,148"
1957,3,2,Rural,1992,"AED 3,04,198"
1562,3,3,Rural,2013,"AED 89,379"
2899,3,3,Rural,1988,"AED 4,27,295"
2590,5,2,Suburb,1957,"AED 3,28,502"
2267,3,2,Urban,1989,"AED 2,15,867"
1831,2,2,Rural,2000,"AED 1,90,059"
2528,5,1,Urban,1969,"AED 2,59,751"
2154,2,1,Rural,2015,"AED 1,66,810"
2508,5,3,Suburb,2007,"AED 3,52,932"
2842,5,3,Urban,2014,"AED 4,22,043"
1646,4,3,Suburb,1994,"AED 91,424"
1020,5,1,Rural,1983,"AED 2,20,054"
1840,5,3,Suburb,1961,"AED 2,16,148"
1166,2,2,Suburb,1972,"AED 1,61,587"
2297,2,2,Urban,2017,"AED 1,94,968"
1387,3,1,Rural,2002,"AED 1,52,829"
1600,4,2,Rural,2002,"AED 2,56,726"
1315,5,2,Suburb,1989,"AED 98,039"
1013,4,3,Urban,2002,"AED 1,64,858"
1241,3,2,Urban,1985,"AED 1,99,373"
1776,4,2,Urban,2014,"AED 1,81,245"
2369,5,1,Suburb,1963,"AED 2,09,701"
1564,2,2,Rural,1983,"AED 1,63,053"
1897,4,2,Rural,1975,"AED 3,04,005"
2363,5,3,Urban,2004,"AED 3,08,831"
1091,3,3,Urban,2012,"AED 1,94,294"
2390,5,3,Urban,2019,"AED 1,72,777"
1955,4,1,Suburb,1995,"AED 1,97,656"
2478,5,3,Urban,1986,"AED 2,73,365"
2451,5,2,Rural,1972,"AED 2,16,047"
1508,4,1,Urban,1965,"AED 1,49,586"
1775,4,2,Suburb,1981,"AED 2,14,171"
2966,3,2,Rural,1956,"AED 2,77,419"
1034,5,3,Rural,1993,"AED 1,17,295"
1205,2,1,Urban,1996,"AED 1,80,761"
2104,4,1,Suburb,1954,"AED 2,02,715"
2955,5,3,Rural,2012,"AED 3,78,404"
2585,2,1,Suburb,1961,"AED 2,57,776"
2895,2,2,Suburb,2021,"AED 2,66,047"
2411,5,1,Rural,1958,"AED 3,37,646"
2025,5,2,Rural,1993,"AED 2,40,146"
2021,5,1,Suburb,1971,"AED 92,642"
2413,2,1,Urban,1995,"AED 1,52,038"
1565,5,3,Rural,1957,"AED 1,49,849"
2129,4,3,Urban,2005,"AED 2,20,384"
2795,2,1,Rural,1977,"AED 3,05,659"
2845,4,2,Urban,1996,"AED 3,18,297"
2500,4,3,Rural,1984,"AED 2,30,749"
1702,5,3,Urban,1970,"AED 2,01,926"
1401,4,3,Suburb,1982,"AED 1,49,577"
1729,5,1,Rural,2019,"AED 1,71,877"
2579,2,2,Urban,1997,"AED 2,45,277"
1161,4,2,Suburb,2003,"AED 2,88,571"
1201,5,1,Urban,1951,"AED 87,805"
2981,3,2,Rural,1982,"AED 2,67,127"
1995,5,3,Suburb,1965,"AED 2,21,218"
1269,3,2,Suburb,1999,"AED 2,18,785"
2886,5,3,Rural,1969,"AED 3,15,607"
1815,3,3,Urban,2016,"AED 2,17,968"
2294,4,1,Rural,1994,"AED 3,53,344"
1455,3,3,Urban,1984,"AED 1,87,003"
2485,4,2,Rural,1978,"AED 2,22,855"
2750,4,2,Rural,1994,"AED 3,66,549"
2275,5,2,Rural,1964,"AED 2,59,473"
2016,4,2,Urban,1952,"AED 2,12,440"
2725,2,2,Urban,2018,"AED 2,37,067"
1295,3,3,Urban,1983,"AED 1,58,358"
2748,5,1,Suburb,2020,"AED 2,55,620"
1719,4,1,Suburb,1953,"AED 1,90,659"
2772,3,2,Urban,1968,"AED 2,84,985"
1337,3,3,Urban,1970,"AED 2,14,741"
1878,2,1,Suburb,1964,"AED 1,28,693"
2076,3,2,Rural,1966,"AED 1,84,052"
1791,5,3,Rural,2003,"AED 2,42,865"
2945,5,1,Urban,1986,"AED 2,95,357"
1216,4,3,Rural,2003,"AED 1,07,869"
1763,4,2,Urban,1971,"AED 2,07,380"
1187,5,3,Suburb,1957,"AED 1,32,829"
1379,3,1,Urban,1960,"AED 84,494"
1492,3,1,Suburb,2019,"AED 53,361"
2064,2,3,Rural,1958,"AED 2,96,199"
2180,4,1,Urban,1951,"AED 2,73,925"
1014,3,3,Urban,1981,"AED 2,04,341"
2836,3,3,Urban,2000,"AED 2,28,582"
1064,4,2,Suburb,1986,"AED 2,37,384"
2880,5,2,Rural,1955,"AED 3,12,246"
2862,3,3,Urban,1961,"AED 2,19,409"
1520,2,1,Rural,2003,"AED 2,01,335"
2367,3,2,Suburb,1995,"AED 2,21,414"
2152,3,1,Rural,1982,"AED 3,06,840"
1647,2,3,Urban,1967,"AED 1,26,756"
2495,5,1,Urban,1987,"AED 3,28,703"
2086,2,1,Suburb,2008,"AED 1,41,074"
2162,2,3,Rural,1956,"AED 2,20,712"
2522,4,2,Urban,1964,"AED 3,19,177"
1592,3,2,Suburb,1950,"AED 2,45,299"
1391,5,1,Rural,1995,"AED 51,154"
2698,3,3,Urban,1981,"AED 3,14,018"
1418,5,3,Suburb,1998,"AED 2,22,904"
1288,2,2,Suburb,1959,"AED 1,15,698"
1378,4,3,Suburb,1966,"AED 1,40,715"
2796,2,3,Suburb,1969,"AED 1,78,353"
2513,3,1,Suburb,2000,"AED 2,80,022"
1230,4,1,Rural,1971,"AED 1,36,418"
2017,4,2,Urban,1969,"AED 1,95,804"
1040,3,2,Rural,2014,"AED 98,933"
2051,5,1,Suburb,1953,"AED 1,85,053"
1134,4,3,Urban,2003,"AED 1,60,764"
1200,5,3,Suburb,2014,"AED 1,56,394"
2863,5,1,Suburb,2000,"AED 3,33,464"
1779,5,1,Urban,1960,"AED 2,11,994"
1929,4,1,Rural,1976,"AED 2,52,780"
2056,2,1,Urban,1975,"AED 2,88,750"
2071,4,3,Rural,1966,"AED 1,85,482"
1502,2,3,Suburb,1991,"AED 1,19,671"
1406,4,2,Suburb,1997,"AED 1,48,891"
2597,2,1,Rural,1982,"AED 2,35,810"
2751,2,2,Suburb,2010,"AED 3,57,765"
1804,4,3,Rural,1978,"AED 2,16,771"
1098,5,2,Rural,2012,"AED 1,02,580"
1683,5,3,Urban,1986,"AED 2,08,774"
2895,2,3,Suburb,2005,"AED 3,02,455"
1725,3,2,Urban,1965,"AED 2,08,559"
2570,3,2,Urban,2005,"AED 2,76,435"
1960,4,1,Suburb,1991,"AED 2,20,787"
2762,4,3,Urban,1973,"AED 3,54,268"
1612,4,1,Suburb,2018,"AED 1,42,421"
2966,3,1,Suburb,1980,"AED 2,99,147"
2485,5,3,Urban,1960,"AED 3,21,647"
1642,4,2,Suburb,1951,"AED 2,16,977"
2792,4,1,Suburb,2020,"AED 2,43,180"
2028,5,1,Suburb,1984,"AED 1,84,211"
2241,2,3,Suburb,2011,"AED 1,75,780"
1502,4,2,Urban,2003,"AED 1,62,271"
1766,3,2,Rural,2018,"AED 2,40,727"
1397,3,1,Urban,2000,"AED 1,86,901"
1870,4,3,Rural,1958,"AED 2,08,692"
1794,3,1,Rural,1963,"AED 1,14,334"
1392,5,2,Rural,2005,"AED 2,25,281"
1206,2,1,Suburb,1983,"AED 1,10,852"
2038,2,3,Rural,1950,"AED 2,06,119"
2881,4,1,Suburb,1987,"AED 2,92,218"
2577,4,2,Suburb,1966,"AED 2,09,166"
1891,2,3,Suburb,1965,"AED 2,83,220"
2484,2,3,Urban,1997,"AED 3,54,539"
2714,4,3,Rural,1999,"AED 2,90,954"
2598,3,3,Urban,2020,"AED 2,07,378"
1863,4,3,Suburb,1990,"AED 2,67,934"
1742,5,1,Urban,1993,"AED 2,35,035"
2264,4,3,Suburb,1964,"AED 2,46,612"
1563,4,2,Urban,2010,"AED 3,14,868"
2020,4,3,Suburb,1999,"AED 2,78,093"
1095,4,2,Suburb,2001,"AED 88,443"
2923,4,2,Urban,2001,"AED 2,35,396"
2757,4,2,Suburb,1985,"AED 2,80,504"
1484,3,2,Rural,1982,"AED 2,73,072"
2430,4,2,Urban,1994,"AED 2,52,667"
1230,2,1,Urban,1951,"AED 1,33,914"
1748,4,2,Suburb,1950,"AED 1,42,718"
2678,3,2,Urban,2019,"AED 2,66,197"
2194,5,2,Rural,1996,"AED 2,45,434"
1540,2,1,Urban,2013,"AED 1,77,796"
2059,4,3,Rural,1967,"AED 2,26,582"
1524,4,2,Urban,2003,"AED 1,70,745"
2183,2,1,Rural,1984,"AED 1,94,059"
2862,4,1,Urban,2008,"AED 3,47,187"
2722,3,1,Rural,1985,"AED 3,45,979"
2266,4,3,Suburb,1975,"AED 3,23,982"
2109,5,1,Urban,1994,"AED 1,85,910"
2819,3,2,Urban,2018,"AED 2,31,642"
1577,4,2,Rural,1979,"AED 1,81,472"
1681,5,2,Urban,1982,"AED 2,47,683"
1556,2,3,Rural,1972,"AED 1,74,120"
2597,3,1,Suburb,1970,"AED 2,49,931"
2976,4,2,Rural,2012,"AED 3,52,084"
2012,4,2,Urban,2019,"AED 3,56,257"
1645,2,2,Suburb,2017,"AED 1,15,739"
1795,2,3,Rural,1985,"AED 2,65,399"
2051,3,2,Rural,1986,"AED 2,05,543"
2643,3,1,Suburb,1950,"AED 2,48,156"
2579,3,1,Urban,1975,"AED 3,18,796"
2363,4,3,Urban,1991,"AED 2,54,479"
2821,4,3,Urban,1989,"AED 2,48,782"
2981,3,3,Suburb,2002,"AED 3,20,922"
2354,4,1,Rural,2011,"AED 2,65,274"
2663,2,3,Suburb,1993,"AED 2,83,302"
2529,5,3,Rural,1985,"AED 2,91,196"
2371,4,1,Suburb,1953,"AED 2,40,277"
2496,3,2,Rural,1970,"AED 3,16,709"
2254,4,3,Rural,1966,"AED 2,67,725"
1189,2,2,Suburb,1965,"AED 52,034"
2248,3,2,Suburb,1990,"AED 1,57,261"
2408,5,2,Suburb,2004,"AED 3,49,887"
2400,3,2,Rural,2006,"AED 3,02,582"
2306,3,3,Suburb,2015,"AED 2,67,740"
2981,3,3,Rural,1987,"AED 2,96,943"
1632,4,3,Rural,2005,"AED 2,11,666"
1627,5,1,Suburb,1986,"AED 2,40,463"
1972,2,1,Urban,1999,"AED 2,21,901"
2768,4,2,Urban,2004,"AED 3,37,511"
2282,5,1,Rural,1950,"AED 3,51,439"
2382,5,2,Rural,2014,"AED 2,07,719"
1709,4,2,Urban,2014,"AED 1,87,379"
2479,3,3,Rural,1993,"AED 3,25,105"
2434,5,3,Urban,1961,"AED 2,34,065"
1648,2,1,Rural,2002,"AED 1,68,976"
1317,4,3,Rural,2010,"AED 72,491"
2700,5,1,Suburb,1962,"AED 3,97,825"
2248,2,3,Urban,1991,"AED 2,24,680"
2842,2,3,Rural,1995,"AED 2,97,610"
2257,2,1,Urban,1991,"AED 2,11,358"
1683,2,2,Suburb,1965,"AED 1,91,156"
1663,4,1,Urban,1993,"AED 1,98,444"
2998,2,3,Rural,2019,"AED 2,27,603"
2850,4,2,Urban,1965,"AED 2,27,375"
2397,2,3,Suburb,1971,"AED 3,11,492"
2695,2,3,Urban,1984,"AED 3,41,036"
2631,4,3,Urban,1998,"AED 3,29,215"
2495,3,2,Urban,2020,"AED 1,89,723"
2256,5,3,Urban,2013,"AED 3,15,304"
2715,5,1,Rural,1980,"AED 2,29,019"
2136,4,1,Urban,1950,"AED 2,18,041"
2853,2,1,Suburb,1974,"AED 2,56,368"
2520,4,2,Urban,1969,"AED 4,27,589"
1441,2,1,Suburb,1957,"AED 1,61,117"
1563,4,3,Suburb,2013,"AED 1,82,495"
2291,5,2,Suburb,1965,"AED 2,76,166"
2533,4,3,Suburb,2004,"AED 3,14,517"
2830,5,3,Rural,1975,"AED 2,72,012"
2409,5,3,Urban,2014,"AED 3,42,250"
2410,5,1,Urban,1977,"AED 2,58,024"
2136,4,1,Rural,1995,"AED 1,15,460"
2636,3,2,Urban,2003,"AED 2,40,420"
2648,4,2,Rural,2003,"AED 3,88,952"
1951,4,1,Suburb,2021,"AED 2,50,119"
2104,3,1,Urban,1998,"AED 2,10,587"
1698,3,3,Suburb,1995,"AED 2,34,244"
1112,5,1,Urban,1950,"AED 69,294"
1001,2,3,Urban,1993,"AED 1,63,838"
1641,2,1,Urban,1953,"AED 2,52,128"
1219,5,3,Suburb,1980,"AED 1,17,989"
2589,4,1,Rural,1964,"AED 3,13,948"
1854,2,1,Suburb,1950,"AED 2,54,919"
2759,4,2,Rural,2021,"AED 1,97,522"
2248,3,2,Urban,1955,"AED 1,98,494"
1384,3,3,Urban,1976,"AED 1,52,205"
2426,5,2,Urban,1975,"AED 3,08,529"
2661,4,2,Urban,2015,"AED 3,08,855"
2153,5,1,Suburb,1962,"AED 2,46,861"
2076,2,3,Rural,2020,"AED 2,25,867"
2707,2,2,Rural,1983,"AED 2,49,678"
1729,2,2,Rural,1982,"AED 1,08,636"
